Title,City,Descriptions
Desarrolladores . NET - 3571,"Ciudad Autónoma de Buenos Aires, Buenos Aires","IT Patagonia es una compañía de servicios en el área de tecnología de la información con más de treinta años de experiencia en el mercado informático. Nos apasiona nuestro trabajo y nos divertimos creando valor al negocio del cliente, brindándole soluciones tecnológicas personalizadas de acuerdo con sus necesidades. En esta oportunidad estamos buscando Desarrolladores .NET  para sumarse a una importante entidad Logística. Buscamos que cuentes con las siguientes aptitudes excluyentes:Experiencia mínima 2 años en desarrollos desde cero.Backend: .NET /.NET CoreConocimientos sobre motores de bases de datos relacionales: SQLExperiencia con integración de aplicaciones y tecnologías (Cloud, SaaS, API management) (APIs RESTFul)Sería un plus:Experiencia en relacionamiento e interacción directa con el cliente.Estudiante o graduado de las carreras de Lic. en Sistemas, Ingeniería Informática, Lic. En Ciencias de la Computación o afines.GolangFrontend: React, ReactNativeExperiencia desarrollando microserviciosArquitectura orientada a eventosConocimientos sobre Docker y KubernetesConocimientos sobre motores de bases de datos relacionales: Oracle  y NoSQL: Mongo, Cassandra, Redis, ElasticsearchConocimientos sobre despliegue continuo e integración continua (Jenkins)Conocimientos sobre tecnologías como IBM MQ, Rabbit, Apache, Kafka.Experiencia en testing.Conocimientos en arquitecturas Cloud (Azure - AWS)Experiencia con metodologías agiles y devops.Conocimiento de GIT, GitHub, Azure Devops.Conocimientos en Open Shift.Metodologías ágiles: ScrumPrincipales tareas:Programar en lenguajes y frameworks de última generación.Capturar requerimientos complejos y plantear soluciones en conjunto con los distintos referentes.Aportar conocimiento y experiencia sobre diferentes tipos de arquitecturas, estilos de programación y soluciones.Aplicar metodologías de mejora continua y mejores prácticas al proceso de desarrollo de software."

DevOps,"Ciudad Autónoma de Buenos Aires, Buenos Aires","En Selín Software nos encontramos en búsqueda de un DevOps, para un cliente líder en su rubro.Sus funciones serán asegurar una infraestructura para la ejecución de las aplicaciones de la compañía en la nube y las herramientas que permitan el desarrollo de las mismas, sus pruebas, despliegue, monitoreo, depuración, y securitización.La búsqueda se orienta a personas con vocación de servicio, proactivas, con capacidad de comunicación con jefe, pares, y clientes internos; que pueda resolver conflictos y construir un buen clima laboral.Es requisito tener conocimientos en:Teoría y práctica de sistemas operativos, tecnología de contenedores, orquestación de aplicaciones, infraestructura como códigoTeoría y práctica de redes de computadoras (no se requiere especialización)Algún lenguaje de scripting y algún lenguaje de programaciónConceptos y práctica (básica) de seguridad informáticaBuscamos candidatos con experiencia en:Implementación de infraestructura basadas en servicios en la nubeImplementación de infraestructura basada en contenedores y orquestadores de aplicacionesAutomación de aprovisionamiento de infraestructura, integración continua, despliegue y entrega continuo,Infraestructura como código Implementación de soluciones de registro (logs), monitoreo, securitización Instalación y configuraciones de software de base (bases de datos, gestores de colas.¿Qué beneficios ofrecemos?Home OfficeDía libre el día de cumpleaños.Horario flexibleCapacitación en tecnologías específicas y metodologías Scrum.Cobertura médica para el grupo familiar directo.GymPass, (gimnasios en toda la Argentina).Si tu perfil se ajusta a la búsqueda y te interesa formar parte de este importante equipo de trabajo, ¡No dudes en postularte!"

Desarrollador .NET,"Ciudad Autónoma de Buenos Aires, Buenos Aires","En Selín Software nos encontramos en búsqueda de perfiles.NET senior developers que quieran formar parte de proyectos sumamente desafiantes y transformadores, para un cliente líder en su rubro.Nuestra búsqueda está orientada a candidatos  que les guste desafiar los problemas buscando la forma más eficiente de resolverlos, proponer nuevas ideas, estrategias y metodologías de trabajo, trabajar en equipo y que tengan ganas de investigar y aprender nuevos lenguajes y tecnologías.Son requisitos excluyentes:●          Contar con al menos 4 años de experiencia en las tecnologías mencionadas.●          Stack .NET: framework 4.5.2+, c#, ASPNET MVC 5 y WebApi 2.●          Desarrollo backend aplicando principios SOLID y unit testing.●          SQL Server, PostgreSQL u Oracle.Requisitos deseables:●          Último stack .NET: framework 4.7, c# 6, ASPNET Core 2.●          Desarrollo frontend utilizando Angular/React y Typescript.●          NoSql (Mongodb y Redis), colas (kafka).●          Elastic stack.●          Docker stack, Kubernetes, CI, CD .●          Arquitectura basada en microservicios.¿Qué beneficios ofrecemos?Home OfficeDía libre el día de cumpleaños.Horario flexibleCapacitación en tecnologías específicas y metodologías Scrum.Cobertura médica para el grupo familiar directo.GymPass, (gimnasios en toda la Argentina).¡Si tu perfil se ajusta a esta búsqueda, no dudes en postularte y formar parte de un gran equipo de trabajo!"

FrontEnd,"Ciudad Autónoma de Buenos Aires, Buenos Aires","En Selín Software buscamos una persona para incorporar como FrontEnd, para cliente líder en su rubro.Buscamos candidatos con más de 2 años de experiencia en entornos JS como Angular o React (preferentemente React 16+), y trabajando en proyectos que hayan implementado Redux .Son requisitos deseables contar con experiencia en:Flexbox y Styled ComponentsTrabajando con NextExperiencia en el uso de Git, Docker y Kubernetes Buscamos candidatos con conocimiento básico de NodeJs, conocimiento en GraphQl y ES6+. Ofrecemos los siguiente beneficios:Home OfficeDía libre el día de cumpleaños.Horario flexibleCapacitación en tecnologías específicas y metodologías Scrum.Cobertura médica para el grupo familiar directo.GymPass, (gimnasios en toda la Argentina). Si cumplis con los requisitos, esperamos tu postulación para sumarte a nuestro equipo de trabajo."

Desarrollador/a Backend PHP - 3566,"Ciudad Autónoma de Buenos Aires, Buenos Aires","IT Patagonia es una compañía de servicios en el área de tecnología de la información con más de treinta años de experiencia en el mercado informático. Nos apasiona nuestro trabajo y nos divertimos creando valor al negocio del cliente, brindándole soluciones tecnológicas personalizadas de acuerdo con sus necesidades. En esta oportunidad estamos buscando un/a  Desarrollador/a Backend  para sumarse a la Software Factory de IT Patagonia. Buscamos que cuentes con las siguientes aptitudes excluyentes:POO, PHP7, Frameworks MVC, MYSQL, Linux, GITAPI RestFrameworks PHP como Symfony o Laravel.Sería un plus:Laravel, Docker, Prestashop, Nodejs, RedisPrincipales responsabilidades:Diseño, creación y depuración de aplicaciones web utilizando PHP y MySQLProgramación Orientada a Objetos / MVC ¿Qué te Proponemos?Trabajar en una compañía comprometida con la diversidad, la inclusión y la no discriminación.Un entorno dinámico y con proyectos desafiantes.Balance entre la vida laboral y profesional.Ser parte del programa de voluntariado en acciones sociales.Un ambiente cálido y con excelente clima de trabajo.Aprendizaje constante a través de un plan de capacitación anual.Beneficios en salud y bienestar personal"

Desarrollador .NET - 3559,"Ciudad Autónoma de Buenos Aires, Buenos Aires","IT Patagonia es una compañía de servicios en el área de tecnología de la información con más de treinta años de experiencia en el mercado informático. Nos apasiona nuestro trabajo y nos divertimos creando valor al negocio del cliente, brindándole soluciones tecnológicas personalizadas de acuerdo con sus necesidades. En esta oportunidad estamos buscando un/a  Desarrollador/a .NET para sumarse a una importante entidad de soluciones logísticas. Buscamos que cuentes con las siguientes aptitudes excluyentes:Lenguajes de programación: Principalmente .NET, C#, Framework 4.5 en adelante. .NET Core, React, React Native, Angular Js, Node Js, Golang Conocimientos sobre motores de bases de datos relacionales (SQL , Oracle) y  NoSQL (Mongo, Cassandra, Redis, etc).Conocimientos de JenkinsAPIs RESTFulScrumConocimientos sobre tecnologías como IBM MQ, Rabbit, Apache, Kafka. (Excluyente por lo menos uno de ellos)Seria un plus:Arquitectura orientada a microserviciosArquitectura orientad a eventosConocimientos sobre Docker y Kubernetes  Conocimientos en arquitecturas Cloud (Azure – AWS)ElasticsearchExperiencia en testingExperiencia con metodologías agiles y devopsConocimiento de GIT, GitHub, Azure DevopsConocimientos en Open ShiftTareas:  Programar en lenguajes y frameworks de última generación. Capturar requerimientos complejos y plantear soluciones en conjunto con los distintos referentes. Aportar tu conocimiento y experiencia sobre diferentes tipos de arquitecturas, estilos de programación y soluciones. Aplicar metodologías de mejora continua y mejores prácticas al proceso de desarrollo de software.  ¿Qué te Proponemos?Trabajar de manera directa con la empresa líder en soluciones logísticas especializadas en Argentina y BrasilFlexibilidad horariaMedicina prepaga para grupo familiarImportantes descuentos corporativos"

Desarrollador Javascript Jr+,"Posadas, Misiones","En Experis, nos encontramos en la busqueda de 1 Desarrollador Javascript Jr+ para incorporarse a importante empresa de desarrollo de software en Posadas (Misiones).La empresa cuenta con un desarrollo ERP propio que vende e implementa a PYMES de NEA. Que buscamos?Personas con experiencia de al menos 1 año en desarrollo JavascriptNodeJSHTML5CSSReactAPI RestSO: Windows, LinuxDeseables SQLMongoDBFlutterDartFireBaseLa relacion de dependencia es directa con la empresa.Es importante contar con disponibilidad para trabajar de manera presencial en Posadas (Misiones) Full timeLa empresa te ofrece la posibilidad de seguir desarrollandote como profesional a traves de capacitaciones permanentes a cargo de la compañia.Esperamos tu postulacion!"

Desarrollador Android - Remoto,"Rosario, Santa Fe",REMOTOEstamos seleccionando para Consultora de Software: Desarrollador Android - participará de proyectos IoTDesafíos:Diseñar y construir aplicaciones Android elegantesColaborar con el equipo en la definición y diseño de nuevas funcionalidadesMantener la calidad y organización del códigoPromover el uso de buenas prácticas Se espera:Conocimientos de Java y Kotlin (deseable)Experiencia en implementación de arquitecturas utilizando MVP y MVVMConocimiento de RxJavaExperiencia en utilización de Hilt para inyección de dependenciasConocimientos en RealmExperiencia con RESTful APIs para conectar aplicaciones Android con servicio de back-endDominio de herramientas de versionado de código Beneficios:Actualización salarial trimestralPrepagaCapacitacionesBono anualHome office

Analista Programador SQL (SSr),"Ciudad Autónoma de Buenos Aires, Buenos Aires","1- Experiencia en programación MS SQL 2- Experiencia en desarrollo de Store Procedures 3- Conocimiento de Data Warehousing y Herramientas BI: Tableau, Microstrategy, Qlikview , Power BI (alguna de ellas)Estos tres requerimientos son excluyentes.Se valorarán conocimientos de Desarrollo web (JS / PHP / .NET)Relación de dependencia.Capacitación​"

JAVA Freelance - Remoto,"Rosario, Santa Fe",Seleccionamos Desarrolladores JAVA para proyectos freelanceHoras disponibles: 20h semanalesSueldo en USD

JR./SSR. FRONTEND REACT.JS DEVELOPER - REMOTE POSITION,"Remoto, REM","EULAS S.R.L. es sede y subsidiaria del grupo Minutentag de USA en BSAS.Somos una empresa internacional, líder en innovación y desarrollos tecnológicos que brinda servicios digitales de clase mundial, a empresas y entidades gubernamentales.Minutentag es una empresa enfocada en servicios digitales y su headquarter se encuentra en USA, con presencia a nivel global. Nuestros clientes cotizan en bolsa y pertenecen a la industria de retail, e-commerce, mayoristas y telecomunicaciones.Si queres ser parte de un equipo elite de desarrollo en tecnologías de puntas, proyectos excepcionales y retos de innovación, en nuestras oficinas de Buenos Aires estamos agrandando nuestro equipo.Estamos buscando JR./SSR. Frontend React.js Devs (+2 años de experiencia).Sus responsabilidades serán:Diseñar, programar, implementar y mantener aplicaciones frontend.Documentar programas según estándares, con documentación funcional y arquitectónica así como con comentarios en su propio código.Seguimiento y documentación de proyectos.Detectar oportunidades de mejora por acuerdo y observaciones e incluirlas en el sistema de mejora continua.Optimizar el rendimiento de las aplicaciones.Requisitos:Sólido conocimiento de bibliotecas HTML, CSS, JavaScript (Angular, Jquery, TypeScript). Idealmente entre 2 y 3 años de experiencia. Experiencia trabajando con REACT.JS (excluyente). Uso de HOOKS.Conocimiento y experiencia utilizando REDUX.Conocimiento y experiencia utilizando SASS.Conocimiento de metodologías ágiles (Scrum/Kanban).Conocimiento de las herramientas de seguimiento y tickets (Jira u otros).Conocimiento de herramientas de control de versiones (Git u otros).Buscamos personas con excelentes capacidades comunicativas, proactivas, flexibles y con facilidad para el trabajo en equipo.Trabajamos junto a clientes de USA. Es excluyente el conocimiento y buen manejo del idioma inglés (upper intermediate/advanced idealmente).Tipo de trabajo: Remoto. Ubicación de las oficinas: CABA, Almagro. A pasos del Abasto. Disponibles para aquellos colaboradores que deseen trabajar en nuetras instalaciones.Modalidad de contratación: Full-time. 9-18hsBeneficios:Contratación en relación de dependencia. No es una contratación para un único proyecto. Queremos que crezcas y te formes junto a nosotros!Desarrollo de carrera y posibilidad de crecimiento.Flexibilidad en el puesto y en el proyecto.Capacitación a cargo de la empresa (Udemy, Pluralsight, Platzi, Educación IT, entre otras plataformas + certificaciones internacionales).Workshops semanales para fomentar el aprendizaje en conjunto.Clases personalizadas de inglés in-house, sin límite de hrs.Cobertura médica OSDE 210 (para el empleado)Re-integro de hasta $1500 ARS para el Gimnasio.After Office organizados por la empresa."

JR./SSR. BACKEND PYTHON DEVELOPER - REMOTE POSITION,"Remoto, REM","EULAS S.R.L. es sede y subsidiaria del grupo Minutentag de USA en BSAS.Somos una empresa internacional, líder en innovación y desarrollos tecnológicos que brinda servicios digitales de clase mundial, a empresas y entidades gubernamentales.Minutentag es una empresa enfocada en servicios digitales y su headquarter se encuentra en USA, con presencia a nivel global. Nuestros clientes cotizan en bolsa y pertenecen a la industria de retail, e-commerce, mayoristas y telecomunicaciones.Si queres ser parte de un equipo elite de desarrollo en tecnologías de puntas, proyectos excepcionales y retos de innovación, en nuestras oficinas de Buenos Aires estamos agrandando nuestro equipo.Estamos buscando JR/SSR. Backend Python Devs (+1/2 años de experencia). Sus responsabilidades serán:Diseñar, programar, implementar y mantener aplicaciones web backend, móviles y de escritorio.Programar con capacidad de conexión utilizando un servidor de aplicaciones.Documentar programas según estándares, con documentación funcional y arquitectónica así como con comentarios en su propio código.Seguimiento y documentación de proyectos.Requisitos:Experiencia utilizando distintos lenguajes de programación orientados a objetos.Sólidos conocimientos de Python (Django) y E-Commerce. Más de 1 o 2 años de experiencia.Conocimiento de bases de datos relacionales (PostgreSql, Mysql, MariaDB).Conocimiento de AWS/Azure (deseable).Conocimientos de SOA: Arquitectura orientada a servicios.Conocimiento de arquitectura de software y aplicaciones N-Layer.Conocimiento de prácticas de testing y refactorización.Conocimiento de las herramientas de seguimiento y tickets.Conocimiento de metodologías ágiles.Conocimiento de herramientas de control de versiones.Buscamos personas con excelentes capacidades comunicativas, proactivas, flexibles y con facilidad para el trabajo en equipo.Trabajamos junto a clientes de USA. Es excluyente el conocimiento y buen manejo del idioma inglés (upper intermediate/advanced idealmente).Tipo de trabajo: Remoto. Ubicación de las oficinas: CABA, Almagro. A pasos del Abasto. Disponibles para aquellos colaboradores que deseen trabajar en nuestras instalaciones.Modalidad de contratación: Full-time. 9-18hsBeneficios:Contratación en relación de dependencia. No es una contratación para un único proyecto. Queremos que crezcas y te formes junto a nosotros!Desarrollo de carrera y posibilidad de crecimiento.Flexibilidad en el puesto y en el proyecto.Capacitación a cargo de la empresa (Udemy, Pluralsight, Platzi, Educación IT, entre otras plataformas + certificaciones internacionales).Workshops semanales para fomentar el aprendizaje en conjunto.Clases personalizadas de inglés in-house, sin límite de hrs.Cobertura médica OSDE 210 (para el empleado)Re-integro de hasta $1500 ARS para el Gimnasio.After Office organizados por la empresa."

LEAD/SR. CLOUD ENGINEER - REMOTE POSITION,"Remoto, REM","EULAS S.R.L. es sede y subsidiaria del grupo Minutentag de USA en BSAS.Somos una empresa internacional, líder en innovación y desarrollos tecnológicos que brinda servicios digitales de clase mundial, a empresas y entidades gubernamentales.Minutentag es una empresa enfocada en servicios digitales y su headquarter se encuentra en USA, con presencia a nivel global. Nuestros clientes cotizan en bolsa y pertenecen a la industria de retail, e-commerce, mayoristas y telecomunicaciones.Estamos en busqueda de un CLOUD ENGINEER SR. que pueda combinar a la perfección el conocimiento tecnológico con la perspicacia comercial para ayudarnos a navegar por todas nuestras necesidades de computación en la nube, incluido el diseño, el mantenimiento, el soporte y la planificación de la infraestructura, y todo lo demás.Sus responsabilidades serán:- Trabajar en conjunto con nuestro equipo de ingeniería para identificar e implementar las soluciones basadas en la nube más óptimas para la empresa.- Planificación, diseño y desarrollo de aplicaciones basadas en la nube.- Gestionar entornos en la nube de acuerdo con las directrices de seguridad de la empresa.- Implementar y depurar iniciativas en la nube según sea necesario de acuerdo con las mejores prácticas durante todo el ciclo de vida del desarrollo.- Educar a los equipos sobre la implementación de nuevas iniciativas basadas en la nube, brindando capacitación asociada según sea necesario.- Emplear habilidades excepcionales para la resolución de problemas, con la capacidad de ver y resolver problemas antes de que se conviertan en problemas.- Utilice su amplio conocimiento de las API para diseñar servicios RESTful e integrarlos con los proveedores de datos existentes, utilizando JSON o XML según sea necesario.- Dirigir y desarrollar las mejores prácticas para un equipo más grande de ingenieros de nube.- Construir y diseñar servicios web en la nube, junto con la implementación de la configuración de servicios geográficamente redundantes.- Organizar y automatizar plataformas basadas en la nube en toda la empresa.- Mantenerse actualizado con las tendencias de la industria, haciendo recomendaciones según sea necesario para ayudar a la empresa a sobresalir.Requisitos del puesto:- De tres a cinco años de experiencia en un puesto de ingeniero de nube o un puesto relacionado. - Cinco años de experiencia en el desarrollo de software utilizando lenguajes como Java, Python, C ++ o Ruby.- Experiencia con aplicaciones SOA y servicios basados ​​en la nube, preferiblemente AWS.- Experiencia trabajando con OpenStack, Linux / UNIX, Rackspace, Docker y Microsoft Azure.- Conocimientos de servicios web, API, REST y RPC- Gran conocimiento de los protocolos de red e Internet, incluidos TCP / IP, DNS, SMTP, HTTP y redes distribuidas.- Experiencia en bases de datos, incluido el conocimiento de SQL y NoSQL, y almacenes de datos relacionados como Postgres.- Amplia experiencia en tecnología de código abierto, desarrollo de software e ingeniería de sistemas.- Es deseable la certificación como arquitecto de soluciones de AWS, la certificación de seguridad en la nube y la certificación de administrador de OpenStack son ventajas.Buscamos personas con excelentes capacidades comunicativas, proactivas, flexibles y con facilidad para el trabajo en equipo.Trabajamos junto a clientes de USA. Es excluyente el conocimiento y buen manejo del idioma inglés (upper intermediate/advanced idealmente).Tipo de trabajo: Remoto. Ubicación de las oficinas: CABA, Almagro. A pasos del Abasto. Disponibles para aquellos colaboradores que deseen trabajar en nuetras instalaciones.Modalidad de contratación: Full-time. 9-18hsBeneficios:Contratación en relación de dependencia. No es una contratación para un único proyecto. Queremos que crezcas y te formes junto a nosotros!Desarrollo de carrera y posibilidad de crecimiento.Flexibilidad en el puesto y en el proyecto.Capacitación a cargo de la empresa (Udemy, Pluralsight, Platzi, Educación IT, entre otras plataformas + certificaciones internacionales).Workshops semanales para fomentar el aprendizaje en conjunto.Clases personalizadas de inglés in-house, sin límite de hrs.Cobertura médica OSDE 210 (para el empleado)Re-integro de hasta $1500 ARS para el Gimnasio.After Office organizados por la empresa."

SR. BACKEND PYTHON DEVELOPERS - REMOTE POSITION,"Remoto, REM","EULAS S.R.L. es sede y subsidiaria del grupo Minutentag de USA en BSAS.Somos una empresa internacional, líder en innovación y desarrollos tecnológicos que brinda servicios digitales de clase mundial, a empresas y entidades gubernamentales.Minutentag es una empresa enfocada en servicios digitales y su headquarter se encuentra en USA, con presencia a nivel global. Nuestros clientes cotizan en bolsa y pertenecen a la industria de retail, e-commerce, mayoristas y telecomunicaciones.Si queres ser parte de un equipo elite de desarrollo en tecnologías de puntas, proyectos excepcionales y retos de innovación, en nuestras oficinas de Buenos Aires estamos agrandando nuestro equipo.Estamos buscando Desarrolladores BackEnd SR. (+4 años de experiencia) con expertís en Python.Sus responsabilidades serán:Diseñar, programar, implementar y mantener aplicaciones web backend, móviles y de escritorio.Programar con capacidad de conexión utilizando un servidor de aplicaciones.Documentar programas según estándares, con documentación funcional y arquitectónica así como con comentarios en su propio código.Seguimiento y documentación de proyectos.Requisitos:Amplia experiencia utilizando distintos lenguajes de programación orientados a objetos.Sólidos conocimientos de Python (Django) y E-Commerce. Más de 4 años de experiencia.Conocimiento de bases de datos relacionales (PostgreSql, Mysql, MariaDB).Conocimiento de AWS/Azure (deseable).Conocimientos de SOA: Arquitectura orientada a servicios.Conocimiento de arquitectura de software y aplicaciones N-Layer.Conocimiento de prácticas de testing y refactorización.Conocimiento de las herramientas de seguimiento y tickets.Conocimiento de metodologías ágiles.Conocimiento de herramientas de control de versiones.Buscamos personas con excelentes capacidades comunicativas, proactivas, flexibles y con facilidad para el trabajo en equipo.Trabajamos junto a clientes de USA. Es excluyente el conocimiento y buen manejo del idioma inglés (upper intermediate/advanced idealmente).Tipo de trabajo: Remoto. Ubicación de las oficinas: CABA, Almagro. A pasos del Abasto. Disponibles para aquellos colaboradores que deseen trabajar en nuestras instalaciones.Modalidad de contratación: Full-time. 9-18hsBeneficios:Contratación en relación de dependencia. No es una contratación para un único proyecto. Queremos que crezcas y te formes junto a nosotros!Desarrollo de carrera y posibilidad de crecimiento.Flexibilidad en el puesto y en el proyecto.Capacitación a cargo de la empresa (Udemy, Pluralsight, Platzi, Educación IT, entre otras plataformas + certificaciones internacionales).Workshops semanales para fomentar el aprendizaje en conjunto.Clases personalizadas de inglés in-house, sin límite de hrs.Cobertura médica OSDE 210 (para el empleado)Re-integro de hasta $1500 ARS para el Gimnasio.After Office organizados por la empresa."

SR. FRONTEND REACT.JS DEVELOPERS - REMOTE POSITION,"Remoto, REM","EULAS S.R.L. es sede y subsidiaria del grupo Minutentag de USA en BSAS.Somos una empresa internacional, líder en innovación y desarrollos tecnológicos que brinda servicios digitales de clase mundial, a empresas y entidades gubernamentales.Minutentag es una empresa enfocada en servicios digitales y su headquarter se encuentra en USA, con presencia a nivel global. Nuestros clientes cotizan en bolsa y pertenecen a la industria de retail, e-commerce, mayoristas y telecomunicaciones.Si queres ser parte de un equipo elite de desarrollo en tecnologías de puntas, proyectos excepcionales y retos de innovación, en nuestras oficinas de Buenos Aires estamos agrandando nuestro equipo.Estamos buscando Desarrolladores FrontEnd SR. (+4 años de experiencia)Sus responsabilidades serán:Diseñar, programar, implementar y mantener aplicaciones frontend.Documentar programas según estándares, con documentación funcional y arquitectónica así como con comentarios en su propio código.Seguimiento y documentación de proyectos.Detectar oportunidades de mejora por acuerdo y observaciones e incluirlas en el sistema de mejora continua.Optimizar el rendimiento de las aplicaciones.Requisitos:Sólido conocimiento de bibliotecas HTML, CSS, JavaScript (Angular, Jquery, TypeScript). Más de 4 años de experiencia. Experiencia trabajando con REACT.JS (excluyente). Uso de HOOKS.Conocimiento y experiencia utilizando REDUX.Conocimiento y experiencia utilizando SASS.Conocimiento de metodologías ágiles (Scrum/Kanban).Conocimiento de las herramientas de seguimiento y tickets (Jira u otros).Conocimiento de herramientas de control de versiones (Git u otros).Buscamos personas con excelentes capacidades comunicativas, proactivas, flexibles y con facilidad para el trabajo en equipo.Trabajamos junto a clientes de USA. Es excluyente el conocimiento y buen manejo del idioma inglés (upper intermediate/advanced). La exposición es 100% directa al cliente.Tipo de trabajo: Remoto. Ubicación de las oficinas: CABA, Almagro. A pasos del Abasto. Disponibles para aquellos colaboradores que deseen trabajar en nuetras instalaciones.Modalidad de contratación: Full-time. 9-18hsBeneficios:Contratación en relación de dependencia. No es una contratación para un único proyecto. Queremos que crezcas y te formes junto a nosotros!Desarrollo de carrera y posibilidad de crecimiento.Flexibilidad en el puesto y en el proyecto.Capacitación a cargo de la empresa (Udemy, Pluralsight, Platzi, Educación IT, entre otras plataformas + certificaciones internacionales).Workshops semanales para fomentar el aprendizaje en conjunto.Clases personalizadas de inglés in-house, sin límite de hrs.Cobertura médica OSDE 210 (para el empleado)Re-integro de hasta $1500 ARS para el Gimnasio.After Office organizados por la empresa."

SR. BACKEND RoR DEVELOPERS - REMOTE POSITION,"Remoto, REM","EULAS S.R.L. es sede y subsidiaria del grupo Minutentag de USA en BSAS.Somos una empresa internacional, líder en innovación y desarrollos tecnológicos que brinda servicios digitales de clase mundial, a empresas y entidades gubernamentales.Minutentag es una empresa enfocada en servicios digitales y su headquarter se encuentra en USA, con presencia a nivel global. Nuestros clientes cotizan en bolsa y pertenecen a la industria de retail, e-commerce, mayoristas y telecomunicaciones.Si queres ser parte de un equipo elite de desarrollo en tecnologías de puntas, proyectos excepcionales y retos de innovación, en nuestras oficinas de Buenos Aires estamos agrandando nuestro equipo.Estamos buscando Desarrolladores Ruby on Rails SR. (+4 años de experiencia)Sus responsabilidades serán:Diseñar, programar, implementar y mantener aplicaciones web backend, móviles y de escritorio.Programar con capacidad de conexión utilizando un servidor de aplicaciones.Documentar programas según estándares, con documentación funcional y arquitectónica así como con comentarios en su propio código.Seguimiento y documentación de proyectos.Requisitos:Sólidos conocimientos de Ruby (Ruby on Rails). Más de 4 años de experiencia.Conocimiento de bases de datos relacionales (PostgreSql, Mysql, MariaDB).Conocimiento de AWS/Azure (deseable).Conocimientos de SOA: Arquitectura orientada a servicios.Conocimiento de arquitectura de software y aplicaciones N-Layer.Conocimiento de prácticas de testing y refactorización.Conocimiento de las herramientas de seguimiento y tickets.Conocimiento de metodologías ágiles.Conocimiento de herramientas de control de versiones.Buscamos personas con excelentes capacidades comunicativas, proactivas, flexibles y con facilidad para el trabajo en equipo.Trabajamos junto a clientes de USA. Es excluyente el conocimiento y buen manejo del idioma inglés (upper intermediate/advanced). La exposición es 100% directa al cliente.Tipo de trabajo: Remoto. Ubicación de las oficinas: CABA, Almagro. A pasos del Abasto. Disponibles para aquellos colaboradores que deseen trabajar en nuetras instalaciones.Modalidad de contratación: Full-time. 9-18hsBeneficios:Contratación en relación de dependencia. No es una contratación para un único proyecto. Queremos que crezcas y te formes junto a nosotros!Desarrollo de carrera y posibilidad de crecimiento.Flexibilidad en el puesto y en el proyecto.Capacitación a cargo de la empresa (Udemy, Pluralsight, Platzi, Educación IT, entre otras plataformas + certificaciones internacionales).Workshops semanales para fomentar el aprendizaje en conjunto.Clases personalizadas de inglés in-house, sin límite de hrs.Cobertura médica OSDE 210 (para el empleado)Re-integro de hasta $1500 ARS para el Gimnasio.After Office organizados por la empresa."

Desarrollador SAP Fiori - Relación de dependencia -  full time y remoto,"Ciudad Autónoma de Buenos Aires, Buenos Aires",Buscamos un desarrollador SAP Fiori para sumarse a una consultora en relación de dependencia. Requisitos: Desarrollo de aplicaciones FioriConfiguración del GatewayODATAConocimientos de SAP ECC (ABAP) Se requiere disponibilidad full time y remoto.La posición es exclusiva para residentes en la república Argentina.Postúlate online. No olvides enviarnos adjunto tu CV y pretensión salarial. Muchas gracias!

Desarrollador sap UI5/FIORI,"Ciudad Autónoma de Buenos Aires, Buenos Aires","#SUMATE A SOFTTEK!Nos encontramos en búsqueda de Desarrollador SAP con experiencia y conocimentos de UI5/Fiori para sumar a nuestros equipos! Tenemos posiciones para participar de proyectos de implementación, roll-outs, soporte y mantenimiento. ¡Te invitamos a que nos envíes tu CV!Conocés Softtek?Fundada en 1982, Softtek es un proveedor global de servicios orientados a procesos de TI con más de 30 oficinas en Norteamérica, Latinoamérica, Europa y Asia. Maximizamos el valor del software para el mundo: Creamos, Probamos, Implementamos y damos mantenimiento a sistemas que empoderan organizaciones e individuos."

Desarrollador ABAP,"Ciudad Autónoma de Buenos Aires, Buenos Aires","#SUMATE A SOFTTEK!Nos encontramos en búsqueda de DESARROLLADORES SAP ABAP para sumar a nuestros equipos! Contamos con posiciones para participar de distintos proyectos con clientes de diversos rubros como también con posiciones para realizar mantenimiento para nuestros clientes. Se requiere: Preferentemente conocimientos de WorkFlow y S4/HANA.Mínimo 2 años de experiencia. ¡Te invitamos a que nos envíes tu CV!Conocés Softtek?Fundada en 1982, Softtek es un proveedor global de servicios orientados a procesos de TI con más de 30 oficinas en Norteamérica, Latinoamérica, Europa y Asia. Maximizamos el valor del software para el mundo: Creamos, Probamos, Implementamos y damos mantenimiento a sistemas que empoderan organizaciones e individuos."

