Title,City,Descriptions
Desarrollador CRM Dynamics 365 Ssr. Sr.,"Ciudad Autónoma de Buenos Aires, Buenos Aires","En nuestra empresa nos encontramos en la búsqueda de un Desarrollador CRM Dynamics 365 Ssr. Sr para sumarse a un equipo de trabajo para importante proyecto. Las tareas implican trabajo remoto hasta Marzo 2021 y presencial en post pandemia. Los postulantes deben ser egresados o estudiantes de las carreras de Ingeniería, Informática o afines. Tienen que poseer experiencia mínima de 4 años para sumarse a un equipo de trabajo Las tareas del puesto implican: o Implementación hasta ambiente pre productivos o Analizar e Interpretar documentación Funcional  Skills: o CRM Dynamics 365 (Configuration and Customization) Entities, Views, Forms Web Resources (JS, Plugins).  o CRM SDK o Visual Studio 2015/2017 o Framework 4.5 or superior  o C# Â· JavaScript o Web Services (WCF, REST, SOAP)  o SQL Server   Skills deseados : o ASP.NET o MVC 3 o superior o JQuery, Kendo UI o KnockoutJs  o TFS  Nivel de Ingles: Intermedio En caso de interesarte por favor no dudes en enviarnos tu CV con foto y remuneración en mano pretendida para un cambio laboral."

Desarrollador de Integraciones Oracle Soa Suite Ssr,"Ciudad Autónoma de Buenos Aires, Buenos Aires","En nuestra empresa nos encontramos en la búsqueda de Desarrollador De Integraciones Oracle Soa Suite Ssr  para sumarse a un equipo de trabajo para importante proyecto. Las tareas implican trabajo remoto.Los postulantes deben ser egresados o estudiantes de las carreras de Ingeniería, Informática o afines. Tienen que poseer experiencia mínima de 4 años para sumarse a un equipo de trabajo.Las tareas del puesto son:Realizar desarrollos en el equipo de integraciones del cliente para trabajar bajo plataforma Oracle SOA Suite, con BPEL, OSB, API. SQL sobre base de datos Oracle. Skills: Experiencia en desarrollo en Oracle SOA SUITE, OSB, BIPL, SQL Skills deseados: API *Ingles: Intermedio a AvanzadoHorario: 9 a 18hs, con posibilidad de hs extras (pagas)En caso de interesarte por favor no dudes en enviarnos tu CV con foto y remuneración en mano pretendida para un cambio laboral"

Analista Desarrollador NET CORE,"Ciudad Autónoma de Buenos Aires, Buenos Aires","En nuestra empresa estamos buscando incorporar nuevos talentos para trabajar en nuestros proyectos. El perfil requerido es el de un Analista Desarrollador NET CORE  con experiencia mínima 2 años,para trabajar en la zona de Microcentro/ Palermo.Requerimientos:Experiencia sólida comprobable minima de 2 años en .NET Core, framework 4.5. o superior.Entity framework 6.Rest ApiExperiencia en desarrollo webBase de datos MYSQL/MYSQL ServerExperiencia en Unit test.Edad de 25 a 50 añosEstudiante o graduado de carreras de Ingeniería Informática y/o afinesInglés intermedioEn caso de interesarte nuestra propuesta no dudes en enviarnos tu CV con foto, portfolio y una introducción donde expliques por qué creés que sos el candidato adecuado para esta búsqueda y la remuneración pretendida. Si tu perfil es acorde a lo que buscamos, te llamaremos para coordinar una entrevista y poder evaluar tus conocimientos y competencia."

Desarrollador Frontend / Angular - Semi Senior,"Ciudad Autónoma de Buenos Aires, Buenos Aires","En nuestra empresa nos encontramos en la búsqueda de un Desarrollador Frontend Angular Semi Senior, para un importante cliente ubicado en CABA.La posición requiere contar con al menos 2 años de experiencia comprobable, tener un perfil proactivo, analítico, responsable y buena predisposición para trabajar en equipo.Descripción de las tareas-La persona que cubra  la posición se incorporará a los scrums de desarrollo de iniciativas y será responsable de la estimación, desarrollo y prueba unitaria de distintos requerimientos utilizando las tecnologías-Skills Requeridas: Experiencia comprobable de 2 años en desarrollo en Frontend , Angular-Skills deseadas: SQL y Scrum Inglés:  IntermedioLugar de Trabajo:  CabaEl horario de trabajo es de lunes a viernes de 9 a 18 HsEn caso de que consideres que esta búsqueda aplique a tu perfil, envia tu CV con foto actualizada y remuneración bruta pretendida por el puesto. En caso de aplicar estaremos comunicándonos con vos a la brevedad."

Analista desarrollador Ansi C,"Martinez, Buenos Aires","En nuestra empresa nos encontramos en la búsqueda de un Analista Desarrollador en Lenguaje Ansi C para sumarse a un equipo de trabajo para importante Empresa Entidad Bancaria de la zona de Martinez.Nos orientamos a un candidato  Ssr- Sr con experiencia mínima de 2 años con compromiso, actitud y ganas de aprender.  Los requisitos son • Ansi C• Oracle• Ansi SQL• Bash• Linux • Windows•  GIT   • Inglés, oral y escrito (Intermedio a avanzado).• 2 años mínimos de experiencia En caso de interesarte por favor no dudes en enviarnos tu CV con foto y remuneración en mano pretendida para un cambio laboral."

